Date,simple_week,simple_day,simple_month,Open,KOR_short_ir,Dollar_index,Dowjones_index,Dow_medibio_index,Dow_medical_index,Nasdaq_index,Kosdaq_index,Kosdaq_trans,Kosdaq_medical_index,Kosdaq_medical_trans,Kospi_trans,new_confirm,agg_confirm,new_death,agg_confirm,new_confirm_t1,agg_confirm_t1,new_death_t1,agg_confirm_t1,new_confirm_t2,agg_confirm_t2,new_death_t2,agg_confirm_t2,keyword_cvd19,keyword_confirm,keyword_death,keyword_cvd19t1,keyword_confirmt1,keyword_deatht1,keyword_cvd19t2,keyword_confirmt2,keyword_deatht2,kospi_index
2018-01-01,1,2,1,0,1.5,0.1,0.24,0.18,0.13,0.13,0.74,0.54,0.58,0.39,0.1,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.93
2018-01-02,1,3,1,1,1.5,0.08,0.26,0.23,0.14,0.15,0.78,0.47,0.65,0.82,0.13,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.94
2018-01-03,1,4,1,1,1.5,0.09,0.28,0.27,0.15,0.16,0.81,0.66,0.73,0.64,0.19,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.95
2018-01-04,1,5,1,1,1.5,0.08,0.31,0.27,0.17,0.16,0.77,0.77,0.71,0.49,0.2,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.93
2018-01-05,1,6,1,1,1.5,0.08,0.36,0.29,0.18,0.18,0.83,0.68,0.8,0.66,0.17,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.95
2018-01-06,1,7,1,0,1.5,0.08,0.36,0.29,0.18,0.18,0.83,0.68,0.8,0.66,0.17,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.95
2018-01-07,2,1,1,0,1.5,0.08,0.36,0.29,0.18,0.18,0.83,0.68,0.8,0.66,0.17,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.95
2018-01-08,2,2,1,1,1.5,0.1,0.35,0.26,0.17,0.18,0.86,0.68,0.89,0.56,0.17,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.96
2018-01-09,2,3,1,1,1.5,0.12,0.38,0.32,0.2,0.18,0.83,0.66,0.85,0.57,0.24,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.96
2018-01-10,2,4,1,1,1.5,0.1,0.37,0.32,0.2,0.18,0.85,0.57,0.87,0.43,0.33,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.95
2018-01-11,2,5,1,1,1.5,0.08,0.42,0.33,0.23,0.19,0.89,0.73,0.91,0.46,0.33,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.95
2018-01-12,2,6,1,1,1.5,0.04,0.48,0.37,0.26,0.2,0.92,0.64,0.96,0.85,0.32,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.95
2018-01-13,2,7,1,0,1.5,0.04,0.48,0.37,0.26,0.2,0.92,0.64,0.96,0.85,0.32,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.95
2018-01-14,3,1,1,0,1.5,0.04,0.48,0.37,0.26,0.2,0.92,0.64,0.96,0.85,0.32,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.95
2018-01-15,3,2,1,1,1.5,0.04,0.48,0.37,0.26,0.2,0.95,0.5,0.98,0.69,0.28,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.96
2018-01-16,3,3,1,1,1.5,0.02,0.47,0.39,0.28,0.19,0.96,0.49,0.98,0.73,0.2,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.96
2018-01-17,3,4,1,1,1.5,0.03,0.55,0.43,0.32,0.21,0.94,0.67,0.95,0.49,0.2,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.96
2018-01-18,3,5,1,1,1.5,0.03,0.53,0.41,0.3,0.21,0.95,0.71,0.96,0.61,0.2,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.96
2018-01-19,3,6,1,1,1.5,0.03,0.54,0.43,0.31,0.22,0.93,0.63,0.91,0.81,0.22,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.96
2018-01-20,3,7,1,0,1.5,0.03,0.54,0.43,0.31,0.22,0.93,0.63,0.91,0.81,0.22,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.96
2018-01-21,4,1,1,0,1.5,0.03,0.54,0.43,0.31,0.22,0.93,0.63,0.91,0.81,0.22,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.96
2018-01-22,4,2,1,1,1.5,0.03,0.57,0.52,0.35,0.24,0.92,0.59,0.9,0.47,0.21,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.95
2018-01-23,4,3,1,1,1.5,0.02,0.57,0.48,0.27,0.25,0.95,0.52,0.94,0.49,0.24,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.97
2018-01-24,4,4,1,1,1.5,0.01,0.58,0.47,0.27,0.24,0.95,0.49,0.94,0.79,0.24,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.97
2018-01-25,4,5,1,1,1.5,0.01,0.62,0.52,0.31,0.24,0.95,0.5,0.94,0.51,0.44,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.98
2018-01-26,4,6,1,1,1.5,0.01,0.67,0.68,0.4,0.26,0.97,0.55,0.95,0.45,0.27,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.98
2018-01-27,4,7,1,0,1.5,0.01,0.67,0.68,0.4,0.26,0.97,0.55,0.95,0.45,0.27,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.98
2018-01-28,5,1,1,0,1.5,0.01,0.67,0.68,0.4,0.26,0.97,0.55,0.95,0.45,0.27,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.98
2018-01-29,5,2,1,1,1.5,0.01,0.63,0.66,0.37,0.25,0.98,0.72,0.98,0.53,0.32,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.99
2018-01-30,5,3,1,1,1.5,0.01,0.54,0.55,0.29,0.24,0.97,0.7,0.97,0.65,0.27,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.98
2018-01-31,5,4,1,1,1.5,0.01,0.56,0.4,0.18,0.24,0.97,0.66,0.96,0.41,0.28,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.98
2018-02-01,5,5,2,1,1.5,0,0.57,0.44,0.2,0.23,0.96,0.81,0.94,0.39,0.56,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.98
2018-02-02,5,6,2,1,1.5,0.01,0.41,0.37,0.15,0.2,0.96,0.79,0.94,0.37,0.39,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.97
2018-02-03,5,7,2,0,1.5,0.01,0.41,0.37,0.15,0.2,0.96,0.79,0.94,0.37,0.39,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.97
2018-02-04,6,1,2,0,1.5,0.01,0.41,0.37,0.15,0.2,0.96,0.79,0.94,0.37,0.39,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.97
2018-02-05,6,2,2,1,1.5,0.01,0.17,0.15,0.05,0.14,0.9,0.52,0.88,0.63,0.33,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.95
2018-02-06,6,3,2,1,1.5,0.01,0.28,0.2,0.06,0.17,0.9,0.54,0.88,0.77,0.54,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.92
2018-02-07,6,4,2,1,1.5,0.02,0.27,0.2,0.06,0.16,0.83,0.51,0.8,0.74,0.35,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.87
2018-02-08,6,5,2,1,1.5,0.02,0.11,0.09,0.02,0.11,0.9,0.3,0.87,0.69,0.23,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.88
2018-02-09,6,6,2,1,1.5,0.03,0.15,0.13,0.04,0.13,0.86,0.27,0.84,0.82,0.4,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.82
2018-02-10,6,7,2,0,1.5,0.03,0.15,0.13,0.04,0.13,0.86,0.27,0.84,0.82,0.4,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.82
2018-02-11,7,1,2,0,1.5,0.02,0.15,0.13,0.04,0.13,0.86,0.27,0.84,0.82,0.4,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.82
2018-02-12,7,2,2,1,1.5,0.02,0.22,0.16,0.04,0.15,0.87,0.22,0.85,0.8,0.22,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.85
2018-02-13,7,3,2,1,1.5,0.01,0.22,0.16,0.04,0.15,0.83,0.33,0.81,0.61,0.3,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.86
2018-02-14,7,4,2,1,1.5,0.01,0.27,0.2,0.05,0.18,0.88,0.24,0.85,0.5,0.17,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.89
2018-02-15,7,5,2,0,1.5,0,0.34,0.26,0.09,0.2,0.88,0.24,0.85,0.5,0.17,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.89
2018-02-16,7,6,2,0,1.5,0.01,0.34,0.29,0.11,0.2,0.88,0.24,0.85,0.5,0.17,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.89
2018-02-17,7,7,2,0,1.5,0.01,0.34,0.29,0.11,0.2,0.88,0.24,0.85,0.5,0.17,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.89
2018-02-18,8,1,2,0,1.5,0.01,0.34,0.29,0.11,0.2,0.88,0.24,0.85,0.5,0.17,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.89
2018-02-19,8,2,2,1,1.5,0.01,0.34,0.29,0.11,0.2,0.93,0.21,0.9,0.39,0.18,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.91
2018-02-20,8,3,2,1,1.5,0.01,0.29,0.24,0.07,0.2,0.91,0.3,0.88,0.52,0.3,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.89
